,id,author,published_at,updated_at,like_count,sentiment_score,text,labeled_status
0,0,swarnilakarmakar6585,2024-07-08,2024-07-08,0,-0.589474,hello sir i have tried through the methods u had showed in the do to get the it channel id but i was unable to get the id by that process please help me with this,neg
1,1,anjumaurya5603,2024-07-08,2024-07-08,0,-0.850589,i am getting key error for the commentcount column i have check the code many times but still it don't resolved please any one let me know how to resolve it,neg
2,2,DanyalTipu,2024-07-05,2024-07-05,0,-0.49801853,can someone tell me from where i can get the source code blog given in description is unavailable,neutral
3,3,ayushjaiswal350,2024-07-03,2024-07-03,0,0.98241925,this is good,pos
4,4,ChristinaK-r6n,2024-06-27,2024-06-27,0,0.9859156,thank you for putting this together it was super helpful for me,pos
5,5,saloni1148,2024-06-16,2024-06-16,0,0.19567885,can i do this project on googly colas,neutral
6,6,bose19942,2024-06-05,2024-06-05,0,0.9778347,thank you for this video,pos
7,7,swarnimsrijan7470,2024-05-16,2024-05-16,0,0.98379534,what a brilliant lecture really impressed by you sir thanks for helping out i the journey,pos
8,8,deepasinghal4729,2024-05-13,2024-05-13,0,-0.12183101,followed till 18:14 no error returned nothing,neutral
9,9,rahulrajeev9763,2024-04-27,2024-04-27,0,0.985799,thank you so much for this stuff,pos
10,10,mohdsaqib3241,2024-04-27,2024-04-27,0,-0.8735465,project link not working,neg
11,11,yankoshuan6225,2024-04-20,2024-04-20,0,-0.6445619,i get only this out from son formatter techtfq can i continue the project i think i might will be missing most of the important stuff,neg
12,12,user-uv5lr7bk8n,2024-04-18,2024-04-18,0,0.93145216,for a non-tech background like me your tutorial is super easy to follow,pos
13,13,najam00717,2024-04-01,2024-04-01,0,-0.6600635,why the son is not showing likes ?,neg
14,14,Abutturab,2024-03-28,2024-03-28,0,0.43924892,top !,neutral
15,15,ryang8192,2024-03-21,2024-03-21,1,-0.068803795,hello i want to ask how to receive video data from youtube?,neutral
16,16,VARUNKUMAR-dj6mi,2024-03-04,2024-03-04,0,-0.38621366,"54:45 in my scrapping i didn't have snippet , title name and likes and views in this only showing video it'd and published date please any one help me tomorrow i have interview",neutral
17,17,VARUNKUMAR-dj6mi,2024-03-04,2024-03-04,0,-0.22150673,"54:45 in my scrapping i didn't have snippet , title name and likes and views in this only showing video it'd and published date please any one 54:45 help me tomorrow i have interview",neutral
18,18,internetmaxvui7719,2024-02-28,2024-02-28,0,-0.8554377,sorry sir the link project in the description is dead,neg
19,19,vigneshnesh7353,2024-02-22,2024-02-22,0,-0.82392263,brow project download link not working,neg
20,20,hoperight5280,2024-02-21,2024-02-21,0,0.71925104,amazing,pos
21,21,user-ye8xi6kf3q,2024-02-18,2024-02-18,0,0.987296,i have to say that you are very great...i am following your channel.your projects are just amazing for getting job,pos
22,22,mayankjacky,2024-02-12,2024-02-12,1,0.26092035,thanks,neutral
23,23,mayankjacky,2024-02-12,2024-02-12,1,0.97828966,a great video which covers all aspects of creating a project in python for data science thank you for your service to the community at large regards,pos
